Episode 4220, mean 100-episode return -177.85
Episode 3320, mean 100-episode return -192.46
Episode 3510, mean 100-episode return -245.37
Episode 4230, mean 100-episode return -181.3
Episode 1680, mean 100-episode return -554.93
Episode 1650, mean 100-episode return -659.48
Episode 3330, mean 100-episode return -194.69
Episode 4240, mean 100-episode return -189.28
Episode 3520, mean 100-episode return -256.36
Episode 3340, mean 100-episode return -193.24
Episode 1400, mean 100-episode return -699.08
Episode 4250, mean 100-episode return -187.97
Episode 1120, mean 100-episode return -952.67
Episode 3530, mean 100-episode return -255.06
Episode 3350, mean 100-episode return -193.42
Episode 4260, mean 100-episode return -189.19
Episode 1540, mean 100-episode return -759.98
Episode 1660, mean 100-episode return -639.11
Episode 3540, mean 100-episode return -254.85
Episode 1690, mean 100-episode return -564.13
Episode 3360, mean 100-episode return -196.43
Episode 4270, mean 100-episode return -189.55
Episode 4280, mean 100-episode return -191.74
Episode 3550, mean 100-episode return -257.66
Episode 3370, mean 100-episode return -199.4
Episode 1670, mean 100-episode return -615.62
Episode 4290, mean 100-episode return -190.12
Episode 3380, mean 100-episode return -198.25
Episode 1410, mean 100-episode return -710.03
Episode 3560, mean 100-episode return -255.81
Episode 1130, mean 100-episode return -948.05
Episode 4300, mean 100-episode return -188.47
Episode 3390, mean 100-episode return -196.8
Episode 1700, mean 100-episode return -568.87
Episode 3570, mean 100-episode return -253.47
Episode 4310, mean 100-episode return -187.53
Episode 3400, mean 100-episode return -197.19
Episode 4320, mean 100-episode return -188.84
Episode 1680, mean 100-episode return -595.79
Episode 3580, mean 100-episode return -249.68
Episode 1550, mean 100-episode return -775.74
Episode 3410, mean 100-episode return -199.41
Episode 1710, mean 100-episode return -580.98
Episode 4330, mean 100-episode return -187.87
Episode 3590, mean 100-episode return -238.59
Episode 3420, mean 100-episode return -200.85
Episode 4340, mean 100-episode return -180.46
Episode 1420, mean 100-episode return -727.61
Episode 3600, mean 100-episode return -239.7
Episode 3430, mean 100-episode return -202.79
Episode 1140, mean 100-episode return -946.45
Episode 4350, mean 100-episode return -180.33
Episode 1690, mean 100-episode return -559.31
Episode 4360, mean 100-episode return -178.37
Episode 3610, mean 100-episode return -232.77
Episode 3440, mean 100-episode return -207.49
Episode 1720, mean 100-episode return -572.57
Episode 4370, mean 100-episode return -179.15
Episode 3620, mean 100-episode return -222.75
Episode 3450, mean 100-episode return -213.96
Episode 1560, mean 100-episode return -808.33
Episode 3630, mean 100-episode return -221.31
Episode 1730, mean 100-episode return -552.8
Episode 3460, mean 100-episode return -221.38
Episode 4380, mean 100-episode return -195.51
Episode 1430, mean 100-episode return -731.31
Episode 1700, mean 100-episode return -564.9
Episode 1150, mean 100-episode return -955.25
Episode 3640, mean 100-episode return -219.37
Episode 4390, mean 100-episode return -197.36
Episode 3470, mean 100-episode return -229.29
Episode 1740, mean 100-episode return -535.61
Episode 4400, mean 100-episode return -201.58
Episode 3650, mean 100-episode return -217.06
Episode 3480, mean 100-episode return -237.61
Episode 3660, mean 100-episode return -216.49
Episode 4410, mean 100-episode return -214.44
Episode 1440, mean 100-episode return -723.58
Episode 1570, mean 100-episode return -812.57
Episode 3670, mean 100-episode return -217.41
Episode 3490, mean 100-episode return -244.77
Episode 1750, mean 100-episode return -534.63
Episode 4420, mean 100-episode return -214.84
Episode 1710, mean 100-episode return -552.13
Episode 3500, mean 100-episode return -250.43
Episode 3680, mean 100-episode return -229.18
Episode 4430, mean 100-episode return -214.11
Episode 1160, mean 100-episode return -961.21
Episode 3690, mean 100-episode return -228.22
Episode 1450, mean 100-episode return -693.85
Episode 3510, mean 100-episode return -251.38
Episode 1760, mean 100-episode return -523.77
Episode 4440, mean 100-episode return -222.13
Episode 3700, mean 100-episode return -226.48
Episode 3520, mean 100-episode return -253.99
Episode 4450, mean 100-episode return -223.85
Episode 3710, mean 100-episode return -227.08
Episode 1580, mean 100-episode return -814.54
Episode 3530, mean 100-episode return -256.78
Episode 4460, mean 100-episode return -227.55
Episode 1460, mean 100-episode return -681.59
Episode 3720, mean 100-episode return -232.19
Episode 3540, mean 100-episode return -254.3
Episode 4470, mean 100-episode return -229.77
Episode 1770, mean 100-episode return -544.88
Episode 1170, mean 100-episode return -965.3
Episode 1720, mean 100-episode return -586.56
Episode 3550, mean 100-episode return -249.51
Episode 3730, mean 100-episode return -233.39
Episode 4480, mean 100-episode return -214.86
Episode 1590, mean 100-episode return -826.62
Episode 3560, mean 100-episode return -242.92
Episode 4490, mean 100-episode return -215.41
Episode 3740, mean 100-episode return -236.7
Episode 3570, mean 100-episode return -236.77
Episode 1780, mean 100-episode return -542.23
Episode 4500, mean 100-episode return -213.08
Episode 1470, mean 100-episode return -681.66
Episode 3580, mean 100-episode return -230.55
Episode 3750, mean 100-episode return -240.07
Episode 4510, mean 100-episode return -203.55
Episode 3590, mean 100-episode return -227.88
Episode 4520, mean 100-episode return -204.07
Episode 1600, mean 100-episode return -849.07
Episode 3760, mean 100-episode return -245.45
Episode 4530, mean 100-episode return -204.12
Episode 1180, mean 100-episode return -966.31
Episode 3600, mean 100-episode return -224.7
Episode 1730, mean 100-episode return -645.56
Episode 1790, mean 100-episode return -536.81
Episode 4540, mean 100-episode return -200.23
Episode 1480, mean 100-episode return -691.51
Episode 3770, mean 100-episode return -246.96
Episode 3610, mean 100-episode return -220.56
Episode 3780, mean 100-episode return -234.39
Episode 4550, mean 100-episode return -199.19
Episode 3620, mean 100-episode return -215.83
Episode 4560, mean 100-episode return -196.19
Episode 1610, mean 100-episode return -847.05
Episode 3790, mean 100-episode return -235.13
Episode 3630, mean 100-episode return -211.55
Episode 4570, mean 100-episode return -191.69
Episode 1800, mean 100-episode return -553.89
Episode 1490, mean 100-episode return -698.64
Episode 3800, mean 100-episode return -232.76
Episode 3640, mean 100-episode return -208.99
Episode 4580, mean 100-episode return -188.5
Episode 1190, mean 100-episode return -976.75
Episode 1740, mean 100-episode return -701.82
Episode 1620, mean 100-episode return -812.56
Episode 4590, mean 100-episode return -186.54
Episode 3650, mean 100-episode return -205.7
Episode 3810, mean 100-episode return -239.33
Episode 4600, mean 100-episode return -185.77
Episode 3660, mean 100-episode return -205.85
Episode 1810, mean 100-episode return -557.42
Episode 3820, mean 100-episode return -232.36
Episode 4610, mean 100-episode return -184.24
Episode 1500, mean 100-episode return -692.84
Episode 3670, mean 100-episode return -202.18
Episode 3830, mean 100-episode return -229.4
Episode 4620, mean 100-episode return -180.36
Episode 3680, mean 100-episode return -198.66
Episode 4630, mean 100-episode return -177.82
Episode 3840, mean 100-episode return -226.99
Episode 3690, mean 100-episode return -194.71
Episode 4640, mean 100-episode return -171.06
Episode 1820, mean 100-episode return -563.92
Episode 1200, mean 100-episode return -977.1
Episode 1630, mean 100-episode return -789.42
Episode 1750, mean 100-episode return -754.74
Episode 3700, mean 100-episode return -191.65
Episode 1510, mean 100-episode return -669.17
Episode 3850, mean 100-episode return -228.1
Episode 4650, mean 100-episode return -167.5
Episode 3710, mean 100-episode return -188.26
Episode 4660, mean 100-episode return -165.97
Episode 3720, mean 100-episode return -185.2
Episode 3860, mean 100-episode return -235.24
Episode 4670, mean 100-episode return -168.65
Episode 1830, mean 100-episode return -568.18
Episode 3730, mean 100-episode return -182.47
Episode 4680, mean 100-episode return -169.01
Episode 3870, mean 100-episode return -236.71
Episode 1640, mean 100-episode return -767.27
Episode 3740, mean 100-episode return -182.49
Episode 1520, mean 100-episode return -649.34
Episode 4690, mean 100-episode return -169.85
Episode 3880, mean 100-episode return -236.59
Episode 3750, mean 100-episode return -181.82
Episode 1840, mean 100-episode return -570.59
Episode 1210, mean 100-episode return -975.51
Episode 4700, mean 100-episode return -168.33
Episode 1760, mean 100-episode return -798.3
Episode 3760, mean 100-episode return -176.46
Episode 3890, mean 100-episode return -237.96
Episode 4710, mean 100-episode return -165.29
Episode 3770, mean 100-episode return -178.08
Episode 4720, mean 100-episode return -165.96
Episode 3900, mean 100-episode return -238.83
Episode 1850, mean 100-episode return -567.2
Episode 1530, mean 100-episode return -631.53
Episode 4730, mean 100-episode return -164.4
Episode 3780, mean 100-episode return -176.99
Episode 3910, mean 100-episode return -232.82
Episode 3790, mean 100-episode return -176.78
Episode 1650, mean 100-episode return -762.46
Episode 3920, mean 100-episode return -230.02
Episode 4740, mean 100-episode return -180.14
Episode 3800, mean 100-episode return -175.17
Episode 1860, mean 100-episode return -573.8
Episode 3810, mean 100-episode return -174.77
Episode 1220, mean 100-episode return -976.41
Episode 3930, mean 100-episode return -232.52
Episode 4750, mean 100-episode return -190.81
Episode 3820, mean 100-episode return -174.36
Episode 1770, mean 100-episode return -860.4
Episode 1540, mean 100-episode return -635.58
Episode 3940, mean 100-episode return -230.3
Episode 3830, mean 100-episode return -174.49
Episode 4760, mean 100-episode return -200.4
Episode 3840, mean 100-episode return -171.6
Episode 3950, mean 100-episode return -224.63
Episode 1870, mean 100-episode return -556.13
Episode 4770, mean 100-episode return -201.67
Episode 3850, mean 100-episode return -170.14
Episode 1660, mean 100-episode return -762.46
Episode 3960, mean 100-episode return -209.31
Episode 4780, mean 100-episode return -203.42
Episode 3860, mean 100-episode return -170.93
Episode 4790, mean 100-episode return -203.97
Episode 3970, mean 100-episode return -210.34
Episode 1780, mean 100-episode return -872.31
Episode 1550, mean 100-episode return -663.0
Episode 3870, mean 100-episode return -169.06
Episode 1230, mean 100-episode return -981.49
Episode 1880, mean 100-episode return -558.5
Episode 3980, mean 100-episode return -210.2
Episode 4800, mean 100-episode return -207.63
Episode 3880, mean 100-episode return -171.78
Episode 3990, mean 100-episode return -213.35
Episode 3890, mean 100-episode return -173.74
Episode 4810, mean 100-episode return -212.91
Episode 4820, mean 100-episode return -212.62
Episode 3900, mean 100-episode return -173.81
Episode 4000, mean 100-episode return -219.14
Episode 1890, mean 100-episode return -546.78
