max_x [-0.3622083] max max 0.5102545213865606
         3341606 function calls (3330980 primitive calls) in 10.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      635    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      177    0.000    0.000    0.004    0.000 rcsetup.py:69(f)
      269    0.001    0.000    0.004    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.004    0.004 __init__.py:936(rc_params)
        1    0.000    0.000    0.004    0.004 util.py:311(find_library)
        1    0.000    0.000    0.004    0.004 util.py:248(_findSoname_ldconfig)
      126    0.000    0.000    0.004    0.000 deprecation.py:178(deprecate)
     1274    0.003    0.000    0.004    0.000 interface.py:130(__new__)
     1225    0.002    0.000    0.003    0.000 parallel.py:167(__init__)
     1225    0.001    0.000    0.003    0.000 parallel.py:183(__exit__)
      896    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      207    0.001    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1380(_parseNoCache)
       49    0.002    0.000    0.003    0.000 parallel.py:818(retrieve)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:31(<module>)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:3463(parseImpl)
       10    0.000    0.000    0.003    0.000 pyparsing.py:4404(__init__)
     2791    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.003    0.003 mathtext.py:2202(Parser)
     4818    0.002    0.000    0.003    0.000 sre_parse.py:253(get)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3809(leaveWhitespace)
       12    0.000    0.000    0.003    0.000 artist.py:1094(__init__)
        1    0.000    0.000    0.003    0.003 mathtext.py:2738(<lambda>)
        1    0.000    0.000    0.003    0.003 mathtext.py:2738(<listcomp>)
        1    0.000    0.000    0.003    0.003 morestats.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
     9194    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 mlab.py:155(<module>)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
      373    0.001    0.000    0.003    0.000 colors.py:184(_to_rgba_no_colorcycle)
       12    0.001    0.000    0.003    0.000 artist.py:1114(get_aliases)
     6088    0.003    0.000    0.003    0.000 fromnumeric.py:1656(shape)
      656    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     6445    0.002    0.000    0.003    0.000 enum.py:517(__new__)
      491    0.000    0.000    0.003    0.000 colors.py:121(is_color_like)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1177(copy)
      433    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
