C:\dev\Miniconda3\python.exe C:/dev/master-thesis-code/optimize_cmdargs.py
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.44872917461108064', '--epsilon=0.07597094937369145', '--episodes=1000']
[2018-11-19 15:11:56,566] Making new env: MountainCarLimit1000-v0
Episode 1070, mean 100-episode return -274.65
Episode 1080, mean 100-episode return -264.63
Episode 1090, mean 100-episode return -252.64
Episode 1100, mean 100-episode return -247.5
Finished with: 0

***
b'The mean 100-episode return after evaluation -247.45\r\n'
*** Reward: -247.45
Found optimal params [1.01624999 7.35437548]
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.39253542140970715', '--epsilon=0.22198515925149684', '--episodes=1000']
[2018-11-19 15:13:09,970] Making new env: MountainCarLimit1000-v0
Episode 10, mean 100-episode return -1000.0
Episode 20, mean 100-episode return -1000.0
Episode 30, mean 100-episode return -952.4
Episode 40, mean 100-episode return -879.65
Episode 50, mean 100-episode return -852.72
Episode 60, mean 100-episode return -854.9333333333333
Episode 70, mean 100-episode return -854.5142857142857
Episode 80, mean 100-episode return -841.5
Episode 90, mean 100-episode return -825.0
Episode 100, mean 100-episode return -802.31
Episode 110, mean 100-episode return -755.75
Episode 120, mean 100-episode return -723.63
Episode 130, mean 100-episode return -694.89
Episode 140, mean 100-episode return -682.28
Episode 150, mean 100-episode return -666.91
Episode 160, mean 100-episode return -627.76
Episode 170, mean 100-episode return -581.49
Episode 180, mean 100-episode return -540.97
Episode 190, mean 100-episode return -508.0
Episode 200, mean 100-episode return -484.69
Episode 210, mean 100-episode return -464.02
Episode 220, mean 100-episode return -433.31
Episode 230, mean 100-episode return -424.12
Episode 240, mean 100-episode return -403.4
Episode 250, mean 100-episode return -409.52
Episode 260, mean 100-episode return -417.41
Episode 270, mean 100-episode return -419.56
Episode 280, mean 100-episode return -427.61
Episode 290, mean 100-episode return -435.82
Episode 300, mean 100-episode return -434.83
Episode 310, mean 100-episode return -439.77
Episode 320, mean 100-episode return -431.66
Episode 330, mean 100-episode return -417.95
Episode 340, mean 100-episode return -425.24
Episode 350, mean 100-episode return -395.17
Episode 360, mean 100-episode return -377.25
Episode 370, mean 100-episode return -369.35
Episode 380, mean 100-episode return -365.71
Episode 390, mean 100-episode return -355.88
Episode 400, mean 100-episode return -371.48
Episode 410, mean 100-episode return -376.73
Episode 420, mean 100-episode return -384.5
Episode 430, mean 100-episode return -396.5
Episode 440, mean 100-episode return -385.03
Episode 450, mean 100-episode return -379.6
Episode 460, mean 100-episode return -380.16
Episode 470, mean 100-episode return -380.51
Episode 480, mean 100-episode return -376.27
Episode 490, mean 100-episode return -373.46
Episode 500, mean 100-episode return -366.65
Episode 510, mean 100-episode return -370.03
Episode 520, mean 100-episode return -369.33
Episode 530, mean 100-episode return -356.45
Episode 540, mean 100-episode return -366.01
Episode 550, mean 100-episode return -372.14
Episode 560, mean 100-episode return -414.66
Episode 570, mean 100-episode return -424.42
Episode 580, mean 100-episode return -428.69
Episode 590, mean 100-episode return -433.25
Episode 600, mean 100-episode return -413.45
Episode 610, mean 100-episode return -393.7
Episode 620, mean 100-episode return -386.22
Episode 630, mean 100-episode return -375.73
Episode 640, mean 100-episode return -362.12
Episode 650, mean 100-episode return -359.98
Episode 660, mean 100-episode return -315.23
Episode 670, mean 100-episode return -301.6
Episode 680, mean 100-episode return -292.36
Episode 690, mean 100-episode return -286.66
Episode 700, mean 100-episode return -286.98
Episode 710, mean 100-episode return -287.25
Episode 720, mean 100-episode return -284.71
Episode 730, mean 100-episode return -292.18
Episode 740, mean 100-episode return -300.25
Episode 750, mean 100-episode return -285.3
Episode 760, mean 100-episode return -272.68
Episode 770, mean 100-episode return -277.08
Episode 780, mean 100-episode return -271.83
Episode 790, mean 100-episode return -266.82
Episode 800, mean 100-episode return -269.05
Episode 810, mean 100-episode return -272.13
Episode 820, mean 100-episode return -272.58
Episode 830, mean 100-episode return -268.08
Episode 840, mean 100-episode return -259.18
Episode 850, mean 100-episode return -263.21
Episode 860, mean 100-episode return -262.47
Episode 870, mean 100-episode return -246.59
Episode 880, mean 100-episode return -240.47
Episode 890, mean 100-episode return -233.88
Episode 900, mean 100-episode return -234.72
Episode 910, mean 100-episode return -232.46
Episode 920, mean 100-episode return -230.98
Episode 930, mean 100-episode return -227.08
Episode 940, mean 100-episode return -225.54
Episode 950, mean 100-episode return -226.9
Episode 960, mean 100-episode return -223.98
Episode 970, mean 100-episode return -226.18
Episode 980, mean 100-episode return -228.88
Episode 990, mean 100-episode return -235.03
Episode 1000, mean 100-episode return -226.05
Episode 1010, mean 100-episode return -223.56
Episode 1020, mean 100-episode return -225.2
Episode 1030, mean 100-episode return -231.49
Episode 1040, mean 100-episode return -234.1
Episode 1050, mean 100-episode return -234.44
Episode 1060, mean 100-episode return -231.67
Episode 1070, mean 100-episode return -228.64
Episode 1080, mean 100-episode return -232.03
Episode 1090, mean 100-episode return -233.65
Episode 1100, mean 100-episode return -231.69
Finished with: 0

***
b'The mean 100-episode return after evaluation -231.34\r\n'
*** Reward: -231.34
Found optimal params [0.64467431 5.62089377]
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.05', '--epsilon=0.663871096626246', '--episodes=1000']
